time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-06-25 09:30:00-04:00,MLTrader,538c943154a54e13ab4fc99e30282677,SPY,buy,market,fill,1,day,0.0,1,stock,306.1600036621094,628.0,0.0
2020-06-25 09:30:00-04:00,MLTrader,c099932edb4a4a529c859d50b9484ac0,SPY,buy,market,fill,1,gtc,0.0,1,stock,306.1600036621094,580.0,0.0
2020-12-01 09:30:00-05:00,MLTrader,e36a183afa8f4812a48c769b44e5bbf5,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-12-01 09:30:00-05:00,MLTrader,b738c087bb0444e3ad1a16a8c4726792,SPY,sell,limit,fill,1,day,0.0,1,stock,367.3920043945312,580.0,0.0
2021-07-16 09:30:00-04:00,MLTrader,9b4bf914e68a48ffa44f32e2371e552f,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2021-07-16 09:30:00-04:00,MLTrader,9b4bf914e68a48ffa44f32e2371e552f,SPY,sell,market,fill,1,gtc,0.0,1,stock,436.010009765625,228.0,0.0
2021-10-25 08:30:00-04:00,MLTrader,41a3668c982d44b49bd7ac4c58278e61,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2021-10-25 08:30:00-04:00,MLTrader,d962931c2c8241bb9e1dadfb5a641a0e,SPY,buy,stop,fill,1,day,0.0,1,stock,457.8105102539063,228.0,0.0
2022-01-21 09:30:00-05:00,MLTrader,02fef5d099c64a4ab669023bc906aeea,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-01-21 09:30:00-05:00,MLTrader,02fef5d099c64a4ab669023bc906aeea,SPY,sell,market,fill,1,gtc,0.0,1,stock,445.55999755859375,217.0,0.0
2022-03-04 09:30:00-05:00,MLTrader,fa17207bd6d44fc5bed8f4e2a81e7a79,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-03-04 09:30:00-05:00,MLTrader,fa17207bd6d44fc5bed8f4e2a81e7a79,SPY,sell,market,fill,1,gtc,0.0,1,stock,431.75,336.0,0.0
2022-03-18 09:30:00-04:00,MLTrader,b077cd1a1ac04a2f83127d80147c5bd3,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-03-18 09:30:00-04:00,MLTrader,b077cd1a1ac04a2f83127d80147c5bd3,SPY,sell,market,fill,1,gtc,0.0,1,stock,438.0,497.0,0.0
2022-03-24 09:30:00-04:00,MLTrader,5ed4f33695e64c77b9514428406634a3,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-03-24 09:30:00-04:00,MLTrader,5ed4f33695e64c77b9514428406634a3,SPY,sell,market,fill,1,gtc,0.0,1,stock,451.1600036621094,724.0,0.0
2022-03-28 08:30:00-04:00,MLTrader,566290d56e2643d9a9808c50bc877aa7,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-03-28 08:30:00-04:00,MLTrader,9d1a9aed633c440c83384a476c23833f,SPY,buy,stop,fill,1,day,0.0,1,stock,460.0199890136719,336.0,0.0
2022-03-28 08:30:00-04:00,MLTrader,8f369d4a58b84442a00143856dc6211b,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-03-28 08:30:00-04:00,MLTrader,946f12d19f7c4192a16a1bdbd58788d4,SPY,buy,stop,fill,1,day,0.0,1,stock,460.0199890136719,497.0,0.0
2022-04-22 09:30:00-04:00,MLTrader,3bb4a73117a44e23b4daaaaf405975e4,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-04-22 09:30:00-04:00,MLTrader,3bb4a73117a44e23b4daaaaf405975e4,SPY,sell,market,fill,1,gtc,0.0,1,stock,436.9100036621094,683.0,0.0
2022-04-27 09:30:00-04:00,MLTrader,65df9064d6074cfa81b5298627ac177b,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-04-27 09:30:00-04:00,MLTrader,65df9064d6074cfa81b5298627ac177b,SPY,sell,market,fill,1,gtc,0.0,1,stock,422.2900085449219,1060.0,0.0
2022-04-28 09:30:00-04:00,MLTrader,761d8ff0116041de9b3e16af3917b763,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-04-28 09:30:00-04:00,MLTrader,761d8ff0116041de9b3e16af3917b763,SPY,sell,market,fill,1,gtc,0.0,1,stock,423.5899963378906,1585.0,0.0
2022-06-10 09:30:00-04:00,MLTrader,d4ad7961a3394692a0f02bbdd41e9884,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-06-10 09:30:00-04:00,MLTrader,d4ad7961a3394692a0f02bbdd41e9884,SPY,sell,market,fill,1,gtc,0.0,1,stock,394.8800048828125,2550.0,0.0
2022-07-08 09:30:00-04:00,MLTrader,3157158e2d964492961b01f70ca2adc5,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,01d0042fb93947b9896514f92c709336,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,c901f2d7b36444368f25557c39d66367,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,f0b7e044a58a41dbb79c9e441b3fa57f,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,90cb358ca87749e49df8c43c64278278,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,99f1e032e19b4e65be451a7c2680ea89,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,51a00c24c965439d881843d8911ae572,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,49c2b8bfc0fb4020903b721e775b2f34,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,4fcfe319415b4e71a734c15ae86518a0,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,77c978323f004a938e5ad1e708d150ac,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,9381c0ccd35c4144a7cff117278762ad,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,150c79b9afe9421da64f8514f5bae97e,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,f1db1019a6a6452b8d535fdaec514788,SPY,buy,market,new,1,day,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,e6ddd926f60b425c9c667e679b47f04d,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2022-07-08 09:30:00-04:00,MLTrader,f1db1019a6a6452b8d535fdaec514788,SPY,buy,market,fill,1,day,0.0,1,stock,387.2699890136719,6819.0,0.0
2022-07-08 09:30:00-04:00,MLTrader,e6ddd926f60b425c9c667e679b47f04d,SPY,buy,market,fill,1,gtc,0.0,1,stock,387.2699890136719,3900.0,0.0
2022-09-22 09:30:00-04:00,MLTrader,672f78013935403bbaee4e121352d7fa,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2022-09-22 09:30:00-04:00,MLTrader,0523033461d148439ffa7aa1993c7870,SPY,sell,stop,fill,1,day,0.0,1,stock,367.90648956298827,3900.0,0.0
2022-09-27 09:30:00-04:00,MLTrader,8aa44c01cc41413eb5ba925313365829,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-09-27 09:30:00-04:00,MLTrader,8aa44c01cc41413eb5ba925313365829,SPY,sell,market,fill,1,gtc,0.0,1,stock,364.3800048828125,418.0,0.0
2022-09-28 09:30:00-04:00,MLTrader,04327dc26b9c4f13a426485a4ff939ca,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2022-09-28 09:30:00-04:00,MLTrader,04327dc26b9c4f13a426485a4ff939ca,SPY,sell,market,fill,1,gtc,0.0,1,stock,366.80999755859375,623.0,0.0
2022-10-24 08:30:00-04:00,MLTrader,1f0f9b1af55b461dad9c17a4507a0b33,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-10-24 08:30:00-04:00,MLTrader,2903eeb7f20a4a8388d9fa5b18999e11,SPY,buy,stop,fill,1,day,0.0,1,stock,382.59900512695316,418.0,0.0
2022-10-24 08:30:00-04:00,MLTrader,6e748d1b4e1d47caa97b52631ebd0acd,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2022-10-24 08:30:00-04:00,MLTrader,d312ed5f5cb749de8add478df0ac47a9,SPY,buy,stop,fill,1,day,0.0,1,stock,385.15049743652344,623.0,0.0
2023-01-19 09:30:00-05:00,MLTrader,7004ccf86ff64b74932fa69b31b43747,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-01-19 09:30:00-05:00,MLTrader,7004ccf86ff64b74932fa69b31b43747,SPY,sell,market,fill,1,gtc,0.0,1,stock,389.3599853515625,367.0,0.0
2023-02-01 09:30:00-05:00,MLTrader,64b489797a34486a8daa4afabf909845,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-02-01 09:30:00-05:00,MLTrader,030cb43762b141faba675c9789db1e0c,SPY,buy,stop,fill,1,day,0.0,1,stock,408.82798461914064,367.0,0.0
2023-04-10 09:30:00-04:00,MLTrader,64d879d382d04a0b8f5498e2dd08a88b,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-04-10 09:30:00-04:00,MLTrader,64d879d382d04a0b8f5498e2dd08a88b,SPY,sell,market,fill,1,gtc,0.0,1,stock,410.260009765625,339.0,0.0
2023-06-06 09:30:00-04:00,MLTrader,f7192140dc26430982f3ae0b7e6429e5,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-06-06 09:30:00-04:00,MLTrader,b570c88726254281a72cbcbc562c36a2,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-06-06 09:30:00-04:00,MLTrader,5a78a3fd9e3645718df56176237755ba,SPY,buy,market,new,1,day,0.0,1,stock,,,
2023-06-06 09:30:00-04:00,MLTrader,2077ace21b2b4846a188aff63d70cf7b,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-06-06 09:30:00-04:00,MLTrader,5a78a3fd9e3645718df56176237755ba,SPY,buy,market,fill,1,day,0.0,1,stock,428.44000244140625,339.0,0.0
2023-06-06 09:30:00-04:00,MLTrader,2077ace21b2b4846a188aff63d70cf7b,SPY,buy,market,fill,1,gtc,0.0,1,stock,428.44000244140625,487.0,0.0
2023-06-12 09:30:00-04:00,MLTrader,ebd64fbc045b4c1bb9cd96c696f5416a,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2023-06-12 09:30:00-04:00,MLTrader,e0c4cef3edba4697bd9ba8e255ab04ae,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2023-06-12 09:30:00-04:00,MLTrader,9c8eb43fb5e1404b9780aef29fd96fd5,SPY,sell,market,new,1,day,0.0,1,stock,,,
2023-06-12 09:30:00-04:00,MLTrader,a74c27a0bc3d49cd829e0bba5770ba50,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-06-12 09:30:00-04:00,MLTrader,9c8eb43fb5e1404b9780aef29fd96fd5,SPY,sell,market,fill,1,day,0.0,1,stock,435.32000732421875,487.0,0.0
2023-06-12 09:30:00-04:00,MLTrader,a74c27a0bc3d49cd829e0bba5770ba50,SPY,sell,market,fill,1,gtc,0.0,1,stock,435.32000732421875,73.0,0.0
2023-06-29 09:30:00-04:00,MLTrader,05ac2859eed345a992c714b8a55c42b7,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-06-29 09:30:00-04:00,MLTrader,05ac2859eed345a992c714b8a55c42b7,SPY,sell,market,fill,1,gtc,0.0,1,stock,441.44000244140625,348.0,0.0
2023-07-26 09:30:00-04:00,MLTrader,eafe066182d04243be1f39cbf82fbbdb,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-07-26 09:30:00-04:00,MLTrader,3ef3e5cc8f7c497eb9b692fe98b1cd10,SPY,buy,stop,fill,1,day,0.0,1,stock,459.0199890136719,73.0,0.0
2023-08-01 09:30:00-04:00,MLTrader,c7be01472226443ea5d7f1f6e0c81d2b,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-08-01 09:30:00-04:00,MLTrader,c7be01472226443ea5d7f1f6e0c81d2b,SPY,sell,market,fill,1,gtc,0.0,1,stock,453.25,472.0,0.0
2023-08-11 09:30:00-04:00,MLTrader,6b2e95865e8a423c9fb7884eb0860ec9,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-08-11 09:30:00-04:00,MLTrader,6b2e95865e8a423c9fb7884eb0860ec9,SPY,sell,market,fill,1,gtc,0.0,1,stock,443.9700012207031,722.0,0.0
2023-08-21 09:30:00-04:00,MLTrader,e47cd759cb0445009580b9d48bb5d337,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-08-21 09:30:00-04:00,MLTrader,e47cd759cb0445009580b9d48bb5d337,SPY,sell,market,fill,1,gtc,0.0,1,stock,441.17999267578125,1090.0,0.0
2023-09-08 09:30:00-04:00,MLTrader,9a5ab115c62e4d34abdf444ffca9b305,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-09-08 09:30:00-04:00,MLTrader,9a5ab115c62e4d34abdf444ffca9b305,SPY,sell,market,fill,1,gtc,0.0,1,stock,444.8999938964844,1621.0,0.0
2023-11-02 09:30:00-04:00,MLTrader,a826ef6b7a394e5280bd9d6607362610,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-11-02 09:30:00-04:00,MLTrader,a826ef6b7a394e5280bd9d6607362610,SPY,sell,market,fill,1,gtc,0.0,1,stock,433.1400146484375,2498.0,0.0
2023-11-13 09:30:00-05:00,MLTrader,504a293221dd4a16b36b8756843f9cd2,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2023-11-13 09:30:00-05:00,MLTrader,504a293221dd4a16b36b8756843f9cd2,SPY,sell,market,fill,1,gtc,0.0,1,stock,439.2300109863281,3695.0,0.0
2023-11-16 09:30:00-05:00,MLTrader,653d6e47f5a04c1cbb681baa94c454f2,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,2acb4abf27dd444b9e5fbb01285e8ab4,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,c81bf13e13db4aa0b6c14e5a43b0fb2f,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,8373bb3902ca470087453dcb454f19e2,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,eadf86414faf44c78dbc0efef4692064,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,d7139b03c6c644c883cf1c35c12f55d1,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,a1071d1d421a4289af2861e91cd35eb5,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,f0414fc6ca694d4897046189d525fc14,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,b3e807f49d104527baad905967555d41,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,9fabacfa3bd441a88ce2ea4e8159b3ff,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,1e973dde07764ac19dada5415c3d4d52,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,4af64f97ee8d42938c6bd816c6fa88f6,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,20ff34563fa24c5088b836e25d26c0d4,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,6fc72e9d8d544897a9f059d0c5aaed54,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,8121ca85d26144bcb588ebcb10d8cd1d,SPY,buy,market,new,1,day,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,69f2ba4bd51345b19ef6cc123396da4d,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2023-11-16 09:30:00-05:00,MLTrader,8121ca85d26144bcb588ebcb10d8cd1d,SPY,buy,market,fill,1,day,0.0,1,stock,449.2200012207031,10446.0,0.0
2023-11-16 09:30:00-05:00,MLTrader,69f2ba4bd51345b19ef6cc123396da4d,SPY,buy,market,fill,1,gtc,0.0,1,stock,449.2200012207031,5419.0,0.0
