time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-01-02 09:30:00-05:00,MLTrader,544622c9df1745b48d06ab566ab4ec66,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-01-02 09:30:00-05:00,MLTrader,544622c9df1745b48d06ab566ab4ec66,SPY,buy,market,fill,1,gtc,0.0,1,stock,323.5400085449219,10.0,0.0
2020-02-27 09:30:00-05:00,MLTrader,a9b711edb3dc40588eae56ebce383512,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-02-27 09:30:00-05:00,MLTrader,0262109e5e39442abd3fa7257f3231af,SPY,sell,stop,fill,1,day,0.0,1,stock,305.4599914550781,10.0,0.0
