datetime,portfolio_value,cash,return
2023-12-15 09:30:00-05:00,100000.0,100000.0,
2023-12-16 09:30:00-05:00,100000.0,99518.0599975586,0.0
2023-12-18 09:30:00-05:00,100012.06001281738,99518.0599975586,0.00012060012817372012
2023-12-19 09:30:00-05:00,100012.29999542236,99518.0599975586,2.3995366653650763e-06
2023-12-20 09:30:00-05:00,100014.60998535156,99518.0599975586,2.309705835479292e-05
2023-12-21 09:30:00-05:00,100006.17000579834,99518.0599975586,-8.438746653571805e-05
2023-12-22 09:30:00-05:00,100010.00999450684,99518.0599975586,3.839751795586821e-05
2023-12-23 09:30:00-05:00,100010.00999450684,99518.0599975586,0.0
2023-12-26 09:30:00-05:00,100007.73998260498,99518.0599975586,-2.2697846965291646e-05
2023-12-27 09:30:00-05:00,100013.17001342773,99518.0599975586,5.429610571838772e-05
2023-12-28 09:30:00-05:00,100014.49001312256,99518.0599975586,1.3198258735691581e-05
2023-12-29 09:30:00-05:00,100016.18999481201,99518.0599975586,1.699735397564517e-05
2023-12-30 09:30:00-05:00,100016.18999481201,99518.0599975586,0.0
